clave,es,en,va,pantalla
dir_cal.offline,Necesitas conexión,You need a connection,Necessites connexió,calendario
dir_cal.pending_title,Entrenos en festivo por aprobar,Holiday trainings to approve,Entrenaments en festiu per aprovar,calendario
dir_cal.title,Calendario · Festivos,Calendar · Holidays,Calendari · Festius,calendario
dir_cal.unmark,Quitar,Remove,Llevar,calendario
dir_cuerpo.assignments,Asignaciones,Assignments,Assignacions,coach-ficha
dir_cuerpo.empty,No hay cuerpo técnico,No coaching staff,No hi ha cos tècnic,cuerpo-tecnico
dir_cuerpo.no_team,Sin equipo asignado,No team assigned,Sense equip assignat,coach-ficha;cuerpo-tecnico
dir_cuerpo.not_found,No se encontró el entrenador,Coach not found,No s'ha trobat l'entrenador,coach-ficha
dir_cuerpo.title,Cuerpo técnico del club,Club coaching staff,Cos tècnic del club,cuerpo-tecnico
dir_inicio.approvals,Entrenos en festivo por aprobar,Holiday trainings to approve,Entrenaments en festiu per aprovar,inicio
dir_inicio.callups,Convocatorias sin publicar,Call-ups not published,Convocatòries sense publicar,inicio
dir_inicio.erasures,Supresiones pendientes,Pending erasures,Supressions pendents,inicio
dir_inicio.invitations,Invitaciones pendientes,Pending invitations,Invitacions pendents,inicio
dir_inicio.no_attendance,Entrenos sin asistencia,Trainings without attendance,Entrenaments sense assistència,inicio
dir_inicio.no_session,Entrenos sin sesión,Trainings without a session,Entrenaments sense sessió,inicio
dir_inicio.reports,Informes pendientes,Pending reports,Informes pendents,inicio
dir_inicio.tasks_title,Tareas de entrenadores,Coaches' tasks,Tasques dels entrenadors,inicio
dir_jugadores.empty,No hay jugadores,No players,No hi ha jugadors,jugadores
dir_jugadores.title,Jugadores del club,Club players,Jugadors del club,jugadores
dir_sup.approve_final_body,Esta acción es definitiva.,This action is final.,Aquesta acció és definitiva.,supresiones
dir_sup.approve_final_btn,Eliminar definitivamente,Delete permanently,Eliminar definitivament,supresiones
dir_sup.approve_final_title,¿Confirmas la eliminación?,Confirm the deletion?,Confirmes l'eliminació?,supresiones
dir_sup.approve_warn_body,Vas a eliminar de forma IRREVERSIBLE los datos de {name} (foto y ficha médica). No se puede deshacer.,You are about to IRREVERSIBLY delete {name}'s data (photo and medical record). This can't be undone.,Vas a eliminar de manera IRREVERSIBLE les dades de {name} (foto i fitxa mèdica). No es pot desfer.,supresiones
dir_sup.approve_warn_title,Eliminar datos del menor,Delete the minor's data,Eliminar les dades del menor,supresiones
dir_sup.continue,Continuar,Continue,Continuar,supresiones
dir_sup.empty,No hay solicitudes pendientes,No pending requests,No hi ha sol·licituds pendents,supresiones
dir_sup.error,No se pudo completar,Couldn't be completed,No s'ha pogut completar,supresiones
dir_sup.hint,Derecho al olvido: aprobar es IRREVERSIBLE. Solo el admin del club decide.,Right to be forgotten: approving is IRREVERSIBLE. Only the club admin decides.,Dret a l'oblit: aprovar és IRREVERSIBLE. Només l'administrador del club decideix.,supresiones
dir_sup.offline,Necesitas conexión,You need a connection,Necessites connexió,supresiones
dir_sup.only_admin,Solo el administrador del club puede decidir supresiones.,Only the club admin can decide on erasures.,Només l'administrador del club pot decidir les supressions.,supresiones
dir_sup.reject_body,¿Rechazar la supresión de {name}?,Reject the erasure of {name}?,Rebutjar la supressió de {name}?,supresiones
dir_sup.reject_title,Rechazar solicitud,Reject request,Rebutjar la sol·licitud,supresiones
dir_sup.title,Supresiones (RGPD),Erasures (GDPR),Supressions (RGPD),supresiones
erasure.approve,Aprobar,Approve,Aprovar,[reusada] supresiones
erasure.cancel,Cancelar,Cancel,Cancel·lar,[reusada] supresiones
erasure.reject,Rechazar,Reject,Rebutjar,[reusada] supresiones
erasure.requested_by,Solicitado por {who} · {date},Requested by {who} · {date},Sol·licitat per {who} · {date},[reusada] supresiones
ficha.assists,Asist.,Assists,Assist.,[reusada] jugador-ficha
ficha.attendance,Asistencia,Attendance,Assistència,[reusada] jugador-ficha
ficha.attendance_pct,Presencia,Presence,Presència,[reusada] jugador-ficha
ficha.empty,Sin datos de ficha todavía,No player profile data yet,Sense dades de fitxa encara,[reusada] jugador-ficha
ficha.evaluations,Valoraciones,Ratings,Valoracions,jugador-ficha
ficha.goals,Goles,Goals,Gols,[reusada] jugador-ficha
ficha.matches,Partidos,Matches,Partits,[reusada] jugador-ficha
ficha.minutes,Minutos,Minutes,Minuts,[reusada] jugador-ficha
ficha.red,Rojas,Red cards,Roges,[reusada] jugador-ficha
ficha.shots,Tiros,Shots,Tirs,[reusada] jugador-ficha
ficha.starts,Titular,Starter,Titular,[reusada] jugador-ficha
ficha.stats,Estadísticas,Statistics,Estadístiques,[reusada] jugador-ficha
ficha.yellow,Amar.,Yel.,Groc.,[reusada] jugador-ficha
home.direccion.management_title,Tareas de dirección,Management tasks,Tasques de direcció,[reusada] inicio
jugadores.no_team,Sin equipo,No team,Sense equip,[reusada] jugadores
