clave,es,traduccion_nueva,estado
jugadores.invitePending.confirm.send,Invitar,Invite,sin_traducir
jugadores.invitePending.sending,Enviando…,Sending…,sin_traducir
jugadores.invitePending.tooMany.title,Demasiados pendientes,Too many pending,sin_traducir
jugadores.invitePending.tooMany.body,Hay {count} pendientes y el máximo por tanda es {limit}. Invita desde el import (que va de 100 en 100) o reduce la selección.,There are {count} pending and the maximum per batch is {limit}. Invite from the import (which goes 100 at a time) or reduce the selection.,sin_traducir
jugadores.invitePending.errorState.title,No se pudo invitar,Couldn't invite,sin_traducir
jugadores.invitePending.errorState.forbidden,No tienes permiso para invitar en este club.,You don't have permission to invite in this club.,sin_traducir
jugadores.invitePending.errorState.generic,Algo salió mal. Inténtalo de nuevo en unos minutos.,Something went wrong. Please try again in a few minutes.,sin_traducir
jugadores.invitePending.result.title,Resultado del envío,Send result,sin_traducir
jugadores.invitePending.result.summary,"{sent} enviados, {failed} fallidos, {skipped} saltados.","{sent} sent, {failed} failed, {skipped} skipped.",sin_traducir
jugadores.invitePending.row.sent,Enviado,Sent,sin_traducir
jugadores.invitePending.row.skipped,Saltado,Skipped,sin_traducir
jugadores.invitePending.row.reason.forbidden,Sin permiso,No permission,sin_traducir
jugadores.invitePending.row.reason.insert_failed,Error al crear,Creation error,sin_traducir
jugadores.invitePending.row.reason.send_failed,Error al enviar,Send error,sin_traducir
jugadores.invitePending.close,Cerrar,Close,sin_traducir
jugadores.title,Jugadores,Players,sin_traducir
jugadores.count,"{count, plural, =0 {Sin jugadores todavía} one {1 jugador} other {# jugadores}}","{count, plural, =0 {No players yet} one {1 player} other {# players}}",sin_traducir
jugadores.empty,Aún no hay jugadores en este club. Crea el primero arriba.,There are no players in this club yet. Create the first one above.,sin_traducir
jugadores.create,Crear jugador,Create player,sin_traducir
jugadores.create_help,Da de alta la ficha del jugador. Puedes asignarle un equipo ahora o más tarde.,Add the player's profile. You can assign them a team now or later.,sin_traducir
jugadores.back_to_list,Volver al listado,Back to list,sin_traducir
jugadores.age_years,"{age, plural, one {1 año} other {# años}}","{age, plural, one {1 year} other {# years}}",sin_traducir
jugadores.saved,Cambios guardados.,Changes saved.,sin_traducir
jugadores.actions.create,Crear,Create,sin_traducir
jugadores.actions.cancel,Cancelar,Cancel,sin_traducir
jugadores.actions.save,Guardar cambios,Save changes,sin_traducir
jugadores.field.first_name,Nombre,First name,sin_traducir
jugadores.field.last_name,Apellidos,Last name,sin_traducir
jugadores.field.date_of_birth,Fecha de nacimiento,Date of birth,sin_traducir
jugadores.field.date_of_birth_help,Obligatoria — necesaria para edad y categoría.,Required — needed for age and category.,sin_traducir
jugadores.field.dorsal,Dorsal,Number,sin_traducir
jugadores.field.position_main,Posición principal,Main position,sin_traducir
jugadores.field.positions_secondary,Otras posiciones,Other positions,sin_traducir
jugadores.field.foot,Pie dominante,Preferred foot,sin_traducir
jugadores.field.height_cm,Altura (cm),Height (cm),sin_traducir
jugadores.field.weight_kg,Peso (kg),Weight (kg),sin_traducir
jugadores.field.origin,Procedencia,Origin,sin_traducir
jugadores.field.team,Equipo,Team,sin_traducir
jugadores.field.no_team,Sin equipo (asignar luego),No team (assign later),sin_traducir
jugadores.field.optional,Opcional,Optional,sin_traducir
jugadores.field.legend,Los campos marcados con * son obligatorios.,Fields marked with * are required.,sin_traducir
jugadores.field.optional_tag,opcional,optional,sin_traducir
jugadores.field.team_placeholder,Selecciona un equipo,Select a team,sin_traducir
jugadores.field.team_none_available,No hay equipos en la temporada activa. Crea un equipo antes de dar de alta jugadores.,There are no teams in the active season. Create a team before adding players.,sin_traducir
jugadores.field.tutor_email,Email del tutor,Guardian's email,sin_traducir
jugadores.field.tutor_relation,Relación del tutor,Guardian's relationship,sin_traducir
jugadores.field.relation_placeholder,Selecciona la relación,Select the relationship,sin_traducir
jugadores.field.tutor_help,Al crear el jugador se enviará automáticamente la invitación a este email.,"When you create the player, the invitation will automatically be sent to this email.",sin_traducir
jugadores.positions.goalkeeper,Portero,Goalkeeper,sin_traducir
jugadores.positions.defender,Defensa,Defender,sin_traducir
jugadores.positions.midfielder,Centrocampista,Midfielder,sin_traducir
jugadores.positions.forward,Delantero,Forward,sin_traducir
jugadores.feet.right,Diestro,Right-footed,sin_traducir
jugadores.feet.left,Zurdo,Left-footed,sin_traducir
jugadores.feet.both,Ambidiestro,Two-footed,sin_traducir
jugadores.section.basic_data,Datos básicos,Basic data,sin_traducir
jugadores.section.medical,Notas médicas,Medical notes,sin_traducir
jugadores.section.history,Trayectoria en el club,History at the club,sin_traducir
jugadores.section.family,Familia,Family,sin_traducir
jugadores.history.empty,Sin asignaciones a equipos todavía.,No team assignments yet.,sin_traducir
jugadores.history.active,Actual,Current,sin_traducir
jugadores.photo.change,Cambiar foto,Change photo,sin_traducir
jugadores.photo.remove,Quitar foto,Remove photo,sin_traducir
jugadores.photo.hint,"Máximo {maxMb} MB. JPG, PNG o WebP.","Maximum {maxMb} MB. JPG, PNG or WebP.",sin_traducir
jugadores.photo.errors.mime,"Formato no aceptado. Usa JPG, PNG o WebP.","Format not accepted. Use JPG, PNG or WebP.",sin_traducir
jugadores.photo.errors.too_large,Imagen demasiado grande.,Image too large.,sin_traducir
jugadores.photo.errors.empty,Fichero vacío.,Empty file.,sin_traducir
jugadores.photo.errors.upload_failed,No se pudo subir la imagen.,Couldn't upload the image.,sin_traducir
jugadores.photo.errors.remove_failed,No se pudo quitar la imagen.,Couldn't remove the image.,sin_traducir
jugadores.medical.label,Notas médicas,Medical notes,sin_traducir
jugadores.medical.placeholder,"Alergias, lesiones, tratamientos en curso, contactos de urgencia…","Allergies, injuries, ongoing treatments, emergency contacts…",sin_traducir
jugadores.medical.help,"Visible solo para admin/coordinador, entrenador principal, ayudantes con permiso explícito, y tutores legales vinculados.","Visible only to admin/coordinator, head coach, assistants with explicit permission, and linked legal guardians.",sin_traducir
jugadores.medical.errors.medical_notes_too_long,Las notas son demasiado largas (máx. 5000 caracteres).,The notes are too long (max. 5000 characters).,sin_traducir
jugadores.medical.errors.forbidden,No tienes permiso para editar las notas médicas.,You don't have permission to edit the medical notes.,sin_traducir
jugadores.medical.errors.generic,No se pudo guardar.,Couldn't save.,sin_traducir
jugadores.errors.first_name_required,Introduce el nombre.,Enter the first name.,sin_traducir
jugadores.errors.first_name_too_long,Nombre demasiado largo.,First name too long.,sin_traducir
jugadores.errors.last_name_required,Introduce los apellidos.,Enter the last name.,sin_traducir
jugadores.errors.last_name_too_long,Apellidos demasiado largos.,Last name too long.,sin_traducir
jugadores.errors.date_of_birth_required,Falta la fecha de nacimiento.,Date of birth is missing.,sin_traducir
jugadores.errors.date_of_birth_invalid,Fecha de nacimiento no válida.,Invalid date of birth.,sin_traducir
jugadores.errors.dorsal_invalid,El dorsal debe estar entre 1 y 99.,The number must be between 1 and 99.,sin_traducir
jugadores.errors.position_invalid,Posición no válida.,Invalid position.,sin_traducir
jugadores.errors.positions_secondary_too_many,Demasiadas posiciones secundarias.,Too many secondary positions.,sin_traducir
jugadores.errors.foot_invalid,Pie no válido.,Invalid foot.,sin_traducir
jugadores.errors.height_cm_invalid,La altura debe estar entre 50 y 250 cm.,Height must be between 50 and 250 cm.,sin_traducir
jugadores.errors.weight_kg_invalid,El peso debe estar entre 10 y 200 kg.,Weight must be between 10 and 200 kg.,sin_traducir
jugadores.errors.origin_too_long,Procedencia demasiado larga.,Origin too long.,sin_traducir
jugadores.errors.team_invalid,Equipo no válido.,Invalid team.,sin_traducir
jugadores.errors.team_required,Selecciona un equipo.,Select a team.,sin_traducir
jugadores.errors.email_required,Introduce el email del tutor.,Enter the guardian's email.,sin_traducir
jugadores.errors.email_invalid,El email del tutor no es válido.,The guardian's email is not valid.,sin_traducir
jugadores.errors.email_too_long,El email es demasiado largo.,The email is too long.,sin_traducir
jugadores.errors.relation_required,Selecciona la relación del tutor.,Select the guardian's relationship.,sin_traducir
jugadores.errors.no_active_club,Selecciona primero un club.,Select a club first.,sin_traducir
jugadores.errors.forbidden,No tienes permiso.,You don't have permission.,sin_traducir
jugadores.errors.generic,No se pudo guardar. Inténtalo de nuevo.,Couldn't save. Please try again.,sin_traducir
jugadores.family.empty,Aún no hay cuentas de familia vinculadas.,No family accounts linked yet.,sin_traducir
jugadores.family.linked,Vinculada,Linked,sin_traducir
jugadores.family.pending,Invitación pendiente,Invitation pending,sin_traducir
jugadores.family.relation.parent,Padre/madre,Parent,sin_traducir
jugadores.family.relation.guardian,Tutor legal,Legal guardian,sin_traducir
jugadores.family.relation.self,El propio jugador,The player themselves,sin_traducir
jugadores.tutor.action,Invitar tutor,Invite guardian,sin_traducir
jugadores.tutor.title,Invitar tutor familiar,Invite family guardian,sin_traducir
jugadores.tutor.description,Envía una invitación por email a un familiar de {player}. Al aceptar quedará vinculado a esta ficha.,"Send an email invitation to a relative of {player}. On accepting, they'll be linked to this profile.",sin_traducir
jugadores.tutor.field.email,Email del tutor,Guardian's email,sin_traducir
jugadores.tutor.field.relation,Relación,Relationship,sin_traducir
jugadores.tutor.field.help,Determina el vínculo legal. Ambos comparten la misma vista del jugador.,Determines the legal link. Both share the same view of the player.,sin_traducir
jugadores.tutor.relation.parent,Padre/madre,Parent,sin_traducir
jugadores.tutor.relation.guardian,Tutor legal,Legal guardian,sin_traducir
jugadores.tutor.send,Enviar invitación,Send invitation,sin_traducir
jugadores.tutor.cancel,Cancelar,Cancel,sin_traducir
jugadores.tutor.close,Cerrar,Close,sin_traducir
jugadores.tutor.sent,Invitación enviada a {email}.,Invitation sent to {email}.,sin_traducir
jugadores.tutor.errors.email_invalid,Email no válido.,Invalid email.,sin_traducir
jugadores.tutor.errors.email_too_long,Email demasiado largo.,Email too long.,sin_traducir
jugadores.tutor.errors.relation_invalid,Relación no válida.,Invalid relationship.,sin_traducir
jugadores.tutor.errors.forbidden,No tienes permiso para invitar tutores en este club.,You don't have permission to invite guardians in this club.,sin_traducir
jugadores.tutor.errors.generic,No se pudo enviar la invitación.,Couldn't send the invitation.,sin_traducir
jugadores.assign.action_move,Mover de equipo,Move team,sin_traducir
jugadores.assign.action_assign,Asignar a equipo,Assign to team,sin_traducir
jugadores.assign.title_assign,Asignar a equipo,Assign to team,sin_traducir
jugadores.assign.title_move,Mover a otro equipo,Move to another team,sin_traducir
jugadores.assign.description,"Al asignar a un equipo nuevo, el equipo actual se cierra con la fecha de hoy. La trayectoria se conserva.","When assigning to a new team, the current team is closed with today's date. The history is preserved.",sin_traducir
jugadores.assign.field.team,Equipo destino,Target team,sin_traducir
jugadores.assign.field.team_placeholder,Selecciona un equipo,Select a team,sin_traducir
jugadores.assign.field.dorsal_in_team,Dorsal en el equipo,Number in the team,sin_traducir
jugadores.assign.field.position_in_team,Posición en el equipo,Position in the team,sin_traducir
jugadores.assign.field.optional,Opcional,Optional,sin_traducir
jugadores.assign.cancel,Cancelar,Cancel,sin_traducir
jugadores.assign.save,Confirmar,Confirm,sin_traducir
jugadores.assign.errors.team_invalid,Equipo no válido.,Invalid team.,sin_traducir
jugadores.assign.errors.dorsal_invalid,El dorsal debe estar entre 1 y 99.,The number must be between 1 and 99.,sin_traducir
jugadores.assign.errors.position_invalid,Posición no válida.,Invalid position.,sin_traducir
jugadores.assign.errors.forbidden,No tienes permiso para gestionar este jugador.,You don't have permission to manage this player.,sin_traducir
jugadores.assign.errors.generic,No se pudo guardar.,Couldn't save.,sin_traducir
equipo_detalle.back,Volver a la categoría,Back to the category,sin_traducir
equipo_detalle.roster_title,Jugadores activos,Active players,sin_traducir
equipo_detalle.roster_empty,Aún no hay jugadores asignados a este equipo.,No players assigned to this team yet.,sin_traducir
staff.title,Cuerpo técnico,Coaching staff,sin_traducir
staff.empty,Sin cuerpo técnico asignado todavía.,No coaching staff assigned yet.,sin_traducir
staff.caps,Configurar permisos del ayudante,Configure assistant permissions,sin_traducir
staff.role.entrenador_principal,Entrenador principal,Head coach,sin_traducir
staff.role.entrenador_ayudante,Entrenador ayudante,Assistant coach,sin_traducir
staff.role.preparador_fisico,Preparador físico,Fitness coach,sin_traducir
staff.role.delegado,Delegado,Team manager,sin_traducir
staff.invite.action,Invitar staff,Invite staff,sin_traducir
staff.invite.title,Invitar cuerpo técnico,Invite coaching staff,sin_traducir
staff.invite.description,Envía una invitación por email. Al aceptar quedará vinculado a este equipo con la función indicada.,"Sends an invitation by email. Upon accepting, they will be linked to this team with the specified role.",sin_traducir
staff.invite.field.role,Función en el equipo,Role in the team,sin_traducir
staff.invite.field.help,Solo un entrenador principal por equipo. Preparador físico y delegado se gestionan como ayudantes a nivel de club (sin caps por defecto).,Only one head coach per team. Fitness coach and team manager are managed as assistants at the club level (no caps by default).,sin_traducir
staff.invite.send,Enviar invitación,Send invitation,sin_traducir
staff.invite.cancel,Cancelar,Cancel,sin_traducir
staff.invite.close,Cerrar,Close,sin_traducir
staff.invite.sent,Invitación enviada a {email}.,Invitation sent to {email}.,sin_traducir
staff.invite.errors.email_invalid,Email no válido.,Invalid email.,sin_traducir
staff.invite.errors.email_too_long,Email demasiado largo.,Email too long.,sin_traducir
staff.invite.errors.team_staff_role_invalid,Función no válida.,Invalid role.,sin_traducir
staff.invite.errors.principal_exists,Ya hay un entrenador principal activo en este equipo. Quita el actual antes de invitar otro.,There is already an active head coach on this team. Remove the current one before inviting another.,sin_traducir
staff.invite.errors.forbidden,No tienes permiso para invitar staff en este equipo.,You don't have permission to invite staff to this team.,sin_traducir
staff.invite.errors.generic,No se pudo enviar la invitación.,The invitation could not be sent.,sin_traducir
staff.remove.action,Quitar del cuerpo técnico,Remove from coaching staff,sin_traducir
staff.remove.title,Quitar del cuerpo técnico,Remove from coaching staff,sin_traducir
staff.remove.description,¿Seguro que quieres quitar a {name} del cuerpo técnico de este equipo? Su membership en el club no se ve afectada.,Are you sure you want to remove {name} from this team's coaching staff? Their club membership is not affected.,sin_traducir
staff.remove.cancel,Cancelar,Cancel,sin_traducir
staff.remove.confirm,Quitar,Remove,sin_traducir
capabilities.back,Volver al equipo,Back to team,sin_traducir
capabilities.subtitle,Permisos del entrenador ayudante,Assistant coach permissions,sin_traducir
capabilities.read_only,"Solo el entrenador principal del equipo, coordinador o admin puede modificar estos permisos.","Only the team's head coach, coordinator, or admin can modify these permissions.",sin_traducir
capabilities.not_assistant,Este miembro no es entrenador ayudante. Los permisos solo aplican a ayudantes.,This member is not an assistant coach. Permissions only apply to assistants.,sin_traducir
capabilities.autosave_hint,Los cambios se guardan automáticamente.,Changes are saved automatically.,sin_traducir
capabilities.can_evaluate.label,Valorar a jugadores,Rate players,sin_traducir
capabilities.can_evaluate.description,Puede dejar valoraciones individuales post-partido y post-entrenamiento.,Can leave individual ratings post-match and post-training.,sin_traducir
capabilities.can_create_lineups.label,Crear alineaciones,Create lineups,sin_traducir
capabilities.can_create_lineups.description,"Puede preparar alineaciones (titular, plan B, segunda parte).","Can prepare lineups (starting, plan B, second half).",sin_traducir
capabilities.can_register_match_events.label,Registrar eventos del partido,Register match events,sin_traducir
capabilities.can_register_match_events.description,Puede usar la pantalla de toma de datos en directo.,Can use the live data entry screen.,sin_traducir
capabilities.can_create_sessions.label,Crear sesiones de entrenamiento,Create training sessions,sin_traducir
capabilities.can_create_sessions.description,Puede diseñar y publicar sesiones al equipo.,Can design and publish sessions to the team.,sin_traducir
capabilities.can_create_plays.label,Crear jugadas tácticas,Create tactical plays,sin_traducir
capabilities.can_create_plays.description,Puede crear y compartir jugadas con el equipo.,Can create and share plays with the team.,sin_traducir
capabilities.can_see_medical.label,Ver notas médicas,View medical notes,sin_traducir
capabilities.can_see_medical.description,Puede leer las notas médicas de los jugadores del equipo.,Can read the medical notes of the team's players.,sin_traducir
capabilities.can_message_families.label,Escribir a familias,Message families,sin_traducir
capabilities.can_message_families.description,Puede iniciar conversaciones con tutores legales.,Can start conversations with legal guardians.,sin_traducir
capabilities.can_manage_squad.label,Gestionar plantilla,Manage squad,sin_traducir
capabilities.can_manage_squad.description,"Puede crear/editar fichas y subir fotos. Sin esto, no puede dar de alta jugadores.","Can create/edit profiles and upload photos. Without this, they cannot add players.",sin_traducir
capabilities.errors.forbidden,No tienes permiso para modificar este permiso.,You don't have permission to modify this permission.,sin_traducir
capabilities.errors.not_assistant,Este miembro no es entrenador ayudante.,This member is not an assistant coach.,sin_traducir
capabilities.errors.invalid_input,Datos no válidos.,Invalid data.,sin_traducir
capabilities.errors.db,No se pudo guardar. Inténtalo de nuevo.,Could not save. Please try again.,sin_traducir
import.title,Importar jugadores,Import players,sin_traducir
import.subtitle,Sube un CSV o Excel con tu plantilla. Hasta 500 filas por carga.,Upload a CSV or Excel with your squad. Up to 500 rows per upload.,sin_traducir
import.download.xlsx,Descargar plantilla XLSX,Download XLSX template,sin_traducir
import.download.csv,Descargar plantilla CSV,Download CSV template,sin_traducir
import.upload.label,Selecciona el archivo (.csv o .xlsx),Select the file (.csv or .xlsx),sin_traducir
import.step.upload.short,Subir,Upload,sin_traducir
import.step.upload.title,Sube tu archivo,Upload your file,sin_traducir
import.step.upload.help,"Usa la plantilla descargable (4 columnas: Nombre completo, Fecha de nacimiento, Equipo, Email). Obligatorios: Nombre completo, Fecha de nacimiento y Email. Fecha en formato día/mes/año (15/03/2010). Equipo es opcional (si lo dejas vacío se usa el equipo del lote).","Use the downloadable template (4 columns: Full name, Date of birth, Team, Email). Required: Full name, Date of birth, and Email. Date in day/month/year format (15/03/2010). Team is optional (if you leave it empty, the batch team is used).",sin_traducir
import.step.preview.short,Revisar,Review,sin_traducir
import.step.preview.title,Revisa antes de confirmar,Review before confirming,sin_traducir
import.step.confirming.short,Importar,Import,sin_traducir
import.step.confirming.spinner,Importando jugadores...,Importing players...,sin_traducir
import.step.result.short,Resumen,Summary,sin_traducir
import.step.result.title,Resumen de la importación,Import summary,sin_traducir
import.stats.valid,Listas para crear,Ready to create,sin_traducir
import.stats.duplicates,Duplicadas (omitidas),Duplicates (skipped),sin_traducir
import.stats.invalid,Inválidas,Invalid,sin_traducir
import.preview.truncated,+{count} filas más se procesan igual aunque no se muestren aquí.,+{count} more rows are processed the same even if they aren't shown here.,sin_traducir
import.preview.unmapped_headers,Columnas no reconocidas (se ignoran): {headers},Unrecognized columns (ignored): {headers},sin_traducir
import.preview.required_legend,"Obligatorios: Nombre completo, Fecha de nacimiento y Email. Equipo es opcional: si lo dejas vacío se usa el equipo del selector de lote.","Required: Full name, Date of birth, and Email. Team is optional: if you leave it empty, the batch selector team is used.",sin_traducir
